CompanyID,SalesOfMainProduct,SalesOfOtherProduct,Monthly budget,PrimaryType,Rank,YearFounded,CompanyStatus,OriginCity,OriginCountry,Investments,TodaysClients,ReturningClient,TotalActiveClients,ClientsInTheLast7Days,ClientsInTheLast6Months,ClientsInTheLast12Months,TotalClientsInTheLast7Days,TotalClientsInTheLast6Months,TotalClientsInTheLast12Months
11135-08,0,19,150,Pets,0,,Actively Seeking New Employees,Pasadena,United States,2,62,2,8,,,1,,,1
11135-71,53,158,5000,Pets,1199.971299,1987,Actively Seeking New Employees,San Francisco,United States,120,810,83,165,,13,28,,22,40
111351-79,0,0,1500,Angel (individual),,,,Helsinki,Finland,1,2,1,1,,,,,,
111357-01,3,6,517.5,Family Office,,2002,Actively Seeking New Employees,Cambridge,United Kingdom,3,41,3,16,,,,,,
111357-46,2,0,,Pets,,2008,Actively Seeking New Employees,Cambridge,United States,5,15,5,12,,,3,,,5
111358-27,0,1,,Banking,,2006,Actively Seeking New Employees,Valletta,Malta,2,3,1,1,,,,,,
11136-34,6,20,175.4100159,Pets,61.80127189,2001,Actively Seeking New Employees,Paris,France,5,98,5,24,,,1,,1,2
11136-70,4,7,3142.7,Lender/Debt Provider,732.4676231,2003,Actively Seeking New Employees,Houston,United States,1,26,1,7,,,,,,1
11136-97,0,8,119.3997832,Pets,,2005,Actively Seeking New Employees,Antwerp,Belgium,4,41,3,5,,1,1,,1,1
111367-81,0,3,,Toys,,2013,Actively Seeking New Employees,Turin,Italy,8,22,6,12,,1,2,,3,4
11137-87,4,14,,Pets,,1983,Actively Seeking New Employees,Houston,United States,1,38,1,7,,,1,,,2
11138-68,6,72,64.094358,Pets,15.95407144,1982,Actively Seeking New Employees,Philadelphia,United States,27,542,21,223,,2,4,,3,15
111386-08,0,1,,Angel (individual),,,,Dubai,United Arab Emirates,7,16,7,14,2,3,6,2,3,7
111388-33,2,1,,Angel (individual),,,Actively Seeking New Employees,San Francisco,United States,3,20,3,13,,1,1,,1,1
111389-14,0,0,,Angel (individual),,,,New York,United States,1,2,1,2,,,,,,
111389-68,0,2,,Pets,,,Actively Seeking New Employees,New York,United States,11,28,7,19,,1,1,,1,1
11139-04,8,12,400,Pets,1.76,1996,Actively Seeking New Employees,Princeton,United States,2,84,2,9,,,,,,
111395-26,1,9,,Pets,,2013,Actively Seeking New Employees,San Francisco,United States,4,44,3,25,,,,,,1
11140-03,6,5,30,Pets,,2000,Actively Seeking New Employees,Singapore,Singapore,1,27,1,7,,,,,,
11140-57,0,2,1400,Alcohol,24,2006,Actively Seeking New Employees,White Plains,United States,1,11,1,2,,,,,,
11140-93,1,19,179.0597435,Pets,0,1999,Actively Seeking New Employees,Leicester,United Kingdom,1,135,1,48,,,,,2,4
111404-17,0,0,,Angel (individual),,,Actively Seeking New Employees,New York,United States,4,8,4,6,,,,,,
111404-26,0,1,,Angel (individual),,,Actively Seeking New Employees,New York,United States,3,6,2,2,,,,,,
11141-11,2,11,105.1,Pets,76.10280934,1998,Actively Seeking New Employees,Braintree,United States,1,56,1,11,,1,1,,1,4
11141-38,1,21,80,Pets,3.941161,2000,Actively Seeking New Employees,San Francisco,United States,1,91,1,10,,,1,,,1
11141-65,7,21,,Pets,,1997,Out of Business,Seattle,United States,1,44,1,8,,,,,,
111412-81,0,0,90.72931855,Growth/Expansion,43.54221704,2013,Actively Seeking New Employees,Dublin,Ireland,1,10,1,6,,,,,,
11142-19,9,46,333.5576236,Pets,1.6479,1994,Actively Seeking New Employees,Ottawa,Canada,7,228,6,14,,1,2,,2,5
11142-91,9,10,1200,Pets,6.93565482,2004,Actively Seeking New Employees,Beijing,China,5,178,5,92,,1,1,,2,4
111424-24,0,0,,Angel (individual),,,Actively Seeking New Employees,Boca Raton,United States,1,6,1,5,,,1,,,1
11143-27,2,22,200,Pets,1.54684351,1998,Actively Seeking New Employees,Wellesley,United States,2,58,2,6,,,1,,,1
111431-71,0,5,,Angel Group,,,,,,3,17,3,10,,,,,,
11144-08,3,30,,Alcohol,,1996,Actively Seeking New Employees,Dallas,United States,11,303,10,106,,,1,,14,20
11144-35,5,2,,Pets,,2004,Actively Seeking New Employees,New York,United States,2,21,1,7,,,,,2,3
11145-43,14,80,4838.89699,Alcohol,1356.005234,1989,Actively Seeking New Employees,Helsinki,Finland,4,339,4,44,,1,1,,4,6
11145-52,8,15,587.9259842,Pets,86.3248188,1993,Actively Seeking New Employees,Leuven,Belgium,10,104,8,26,,3,3,,3,8
111458-62,0,1,,Angel (individual),,,,,,1,3,1,2,,,,,,
11146-33,0,43,1200,Pets,226.2417283,2000,Actively Seeking New Employees,Herzliya,Israel,41,237,25,44,,7,15,,8,16
111460-42,3,2,,Pets,,2014,Actively Seeking New Employees,Postdam,Germany,4,16,3,6,,,,,,
111462-49,0,0,,Banking,,,,,,2,4,1,3,,,,,,
111462-94,0,1,,Angel (individual),,,,,,1,2,1,1,,,,,,
111463-30,0,1,,Angel (individual),,,,,,1,2,1,1,,,,,,
11147-50,0,4,23.25,Pets,3.77810425,2002,Actively Seeking New Employees,Indianapolis,United States,7,66,5,33,,1,2,,2,5
11147-95,7,28,99.2,Pets,9.36678151,1996,Actively Seeking New Employees,Pittsburgh,United States,24,138,15,33,,,3,,,4
111473-11,0,1,,Pets,,,Actively Seeking New Employees,Louisville,United States,4,18,4,14,,,1,,,1
11148-49,30,59,1367100,Food,1998.45159,1935,Actively Seeking New Employees,Atlanta,United States,3,258,3,52,,1,1,1,4,5
11148-67,34,60,830,Pets,0.59601211,1997,Actively Seeking New Employees,Los Altos,United States,2,164,2,10,,,,,,
11149-21,28,65,149.662725,Pets,7.24661823,1989,Actively Seeking New Employees,San Francisco,United States,1,262,1,17,,,,,,1
11149-30,8,6,452.8,Pets,,1999,Actively Seeking New Employees,Shanghai,China,8,113,5,60,,,,,6,6
11149-48,3,2,207.33,Furniture,0,1980,Will Consider New Projects,Minnetonka,United States,1,10,1,2,,,,,,
11149-93,15,29,5600,Pets,57.5731598,1959,Actively Seeking New Employees,Taipei,Taiwan,7,101,5,28,,2,2,,4,5
111494-53,0,7,34477.14105,Food,2340.367961,2004,Actively Seeking New Employees,Paris,France,6,115,4,50,,1,3,,6,14
111494-89,0,1,,Banking,,2010,,Anyang,South Korea,1,4,1,2,,1,1,,1,1
111498-04,26,9,800,Pets,,1999,Actively Seeking New Employees,Seongnam,South Korea,18,140,14,53,,2,5,,10,15
111498-49,0,6,,Angel (individual),,,Actively Seeking New Employees,Los Angeles,United States,1,31,1,11,,,,,,
11150-38,9,6,3000,Alcohol,1021.485729,1999,Actively Seeking New Employees,Port Louis,Mauritius,4,89,4,18,,1,1,,2,3
11150-47,6,29,,Furniture,,1989,Actively Seeking New Employees,New York,United States,1,82,1,7,,,,,,
11150-56,0,25,217.7503645,Alcohol,124.9767446,1988,Actively Seeking New Employees,Paris,France,1,138,1,32,,,,,2,6
111504-79,0,1,,Pets,,2014,Actively Seeking New Employees,Greenwich,United States,1,7,1,4,,,,,,
111506-59,0,3,135,Pets,34.72648606,2015,Actively Seeking New Employees,San Francisco,United States,44,95,31,60,1,4,10,1,6,16
11151-01,6,54,377.4339652,Growth/Expansion,194.95143,2003,Actively Seeking New Employees,Munich,Germany,10,151,7,22,,2,2,,4,4
11151-37,4,26,30697,Banking,44.726891,1984,Actively Seeking New Employees,San Jose,United States,3,276,2,26,,1,2,,6,11
111512-26,0,1,,Angel (individual),,,,Halifax,Canada,1,5,1,3,,,,,,
11152-00,2,16,132.5,Alcohol,32.01596335,2002,Actively Seeking New Employees,Nashville,United States,7,85,5,19,,2,3,,2,3
11152-27,0,7,127,Family Office,5.26678417,1996,Not Making New Products,Brentwood,United States,1,30,,6,,1,1,,1,1
111526-12,1,4,420,Pets,190,2014,Actively Seeking New Employees,Singapore,Singapore,18,55,11,25,,1,5,,4,10
111528-28,0,0,,Angel (individual),,,,San Francisco,United States,1,3,1,1,,,1,,,1
11153-98,24,29,340,Pets,16.30280259,1997,Actively Seeking New Employees,Southport,United States,1,124,1,6,,,,,,
111535-66,0,1,,Angel (individual),,,,Jupiter,United States,3,8,3,5,,,,,,
111536-11,0,1,,Angel (individual),,,,,,1,4,1,2,,,1,,,1
11154-25,8,10,300,Pets,15.53511537,1995,Actively Seeking New Employees,Dallas,United States,1,41,1,8,,,,,1,3
11154-34,3,9,575,Food,42.06805828,2004,Actively Seeking New Employees,Bethesda,United States,1,34,1,7,,,,,,
11154-61,5,42,300,Pets,,1994,Actively Seeking New Employees,West Newton,United States,21,124,20,56,,,5,,,5
11154-70,1,37,510,Pets,17.31522458,2000,Actively Seeking New Employees,Cambridge,United States,17,190,14,33,,1,3,,1,5
111544-84,1,3,,Banking,6.3875,2011,,Tokyo,Japan,3,23,2,11,,,,,,
11155-51,2,5,150,Impact Investing,,2001,Actively Seeking New Employees,London,United Kingdom,1,34,1,8,,1,1,,1,1
11155-87,0,8,84.68069732,Pets,2.7485932,2005,Actively Seeking New Employees,Espoo,Finland,6,49,4,9,,,,,,
111551-05,0,0,170,Pets,,2014,Actively Seeking New Employees,Tel Aviv,Israel,5,17,4,11,,,3,,,4
111559-51,0,4,,Pets,9.21932666,2014,Actively Seeking New Employees,New York,United States,8,28,7,15,,,1,,,1
11156-14,2,21,476.513825,Pets,104.4551664,2005,Actively Seeking New Employees,New York,United States,37,133,29,53,,3,11,,5,15
11156-41,4,8,,Pets,20.276961,2000,Actively Seeking New Employees,Oslo,Norway,1,26,1,5,,,,,,
11156-77,5,33,400,Pets,1.68659833,1999,Actively Seeking New Employees,Washington,United States,8,117,7,13,,,,,,
111563-74,0,1,302.4310619,Office,136.5050677,2014,Actively Seeking New Employees,Frankfurt,Germany,21,29,17,19,,3,7,,3,7
111564-19,0,7,,Toys,,2015,Actively Seeking New Employees,London,United Kingdom,6,116,5,94,,,,,,2
11157-31,7,9,7998.900349,Alcohol,1433.202967,1992,Actively Seeking New Employees,New York,United States,2,71,2,17,,,1,1,8,10
11157-58,10,46,30,Pets,8.74339573,1986,Actively Seeking New Employees,Menlo Park,United States,4,90,4,23,,,,,,1
11157-67,0,7,,Banking,,1962,Acquired/Merged (Operating Subsidiary),Atlanta,United States,1,32,1,9,,,1,,,2
11157-76,3,25,707.6886847,Pets,329.9890925,2003,Actively Seeking New Employees,Stockholm,Sweden,73,177,43,56,,8,19,,9,21
11157-94,4,14,5957.04219,Pets,0.929532,1995,Actively Seeking New Employees,Belfast,United Kingdom,1,64,1,19,,,,,1,1
11158-21,2,20,44,Furniture,16.42627723,1996,Actively Seeking New Employees,Atlanta,United States,3,72,3,5,,,,,,
11158-39,26,28,752.709417,Pets,64.15792943,2006,Actively Seeking New Employees,Salt Lake City,United States,23,133,18,26,,1,2,,1,2
11158-57,2,11,245.3,Pets,118.3891679,2001,Actively Seeking New Employees,Vancouver,Canada,12,104,6,15,,1,3,,3,6
11159-02,8,52,,Alcohol,0,1991,Out of Business,Palo Alto,United States,1,160,1,10,,,,,,
11159-74,9,43,1814.586371,Pets,295.5877819,1997,Actively Seeking New Employees,Berlin,Germany,49,286,33,75,,6,9,1,13,22
11161-90,6,19,308.7,Pharma,1.86316,2005,Actively Seeking New Employees,Oakland,United States,3,97,2,12,,,,,,
11162-17,2,7,60,Pets,,1999,Actively Seeking New Employees,Kibutz Glil Yam,Israel,1,32,1,7,,,,,,
11162-89,5,74,2400,Office,0,1995,Actively Seeking New Employees,Montreal,Canada,15,495,11,259,,2,3,,7,15
111624-31,2,11,,Angel (individual),,,Actively Seeking New Employees,Toronto,Canada,3,44,3,29,,,1,,,1
111627-46,0,1,145,Pets,96.21588016,2015,Actively Seeking New Employees,West Hollywood,United States,15,24,9,16,,,3,,,3
111629-62,0,1,,Angel (individual),,,,,,1,2,1,1,,,,,,
11163-16,3,11,,Office,0,1998,Acquired/Merged,Munich,Germany,1,38,1,1,,,,,,
11163-88,0,26,101.3,Pets,0,2002,Actively Seeking New Employees,Santa Monica,United States,22,152,18,45,,,5,,3,10
11163-97,1,6,600000,Banking,,1968,Actively Seeking New Employees,Singapore,Singapore,2,33,2,16,,,,,1,2
111633-49,0,1,,Angel (individual),,,Actively Seeking New Employees,San Francisco,United States,2,10,1,5,,,,,,
111633-76,0,4,,Angel (individual),,,Actively Seeking New Employees,Tel Aviv,Israel,3,11,2,4,,,,,,
111635-38,0,1,,Angel (individual),,,,,,1,4,1,3,,,,,,
111638-35,1,0,50,Pets,5.50160313,,Actively Seeking New Employees,Chicago,United States,1,2,1,1,,,,,,
11164-78,4,8,111.4474884,Pets,122.45897,1986,Will Consider New Projects,Port Coquitlam,Canada,2,35,2,7,,,,,,
111644-74,0,1,6910.122153,Banking,,1926,,Dortmund,Germany,1,3,1,1,,,,,,
111649-51,0,1,,Angel (individual),,,Actively Seeking New Employees,Tokyo,Japan,2,7,2,6,,,1,,,1
11165-05,3,26,25,Pets,30,2005,Actively Seeking New Employees,Seattle,United States,6,52,3,4,,,3,,,3
11165-23,5,31,725.8345484,Pets,106.4769549,2000,Actively Seeking New Employees,London,United Kingdom,66,278,42,78,,8,15,,8,17
11165-50,36,100,4000,Pets,596.7691507,1996,Actively Seeking New Employees,Menlo Park,United States,64,656,44,167,,3,9,,14,27
11166-58,36,224,3096,Pets,14.95048211,1985,Actively Seeking New Employees,Menlo Park,United States,15,931,15,103,,,,,,
11166-67,1,22,125,Pets,1.090875,1999,Actively Seeking New Employees,White Plains,United States,1,98,1,10,,,,,,
11166-76,3,37,163.5,Pets,3.39080897,1999,Actively Seeking New Employees,Reston,United States,9,172,8,22,,,,,,
111660-22,0,1,,Angel (individual),,,,,,1,4,1,1,,,,,,
111666-79,0,0,,Angel (individual),,,,,,1,5,1,4,,,,,,
11167-21,3,11,,Office,,2001,Actively Seeking New Employees,Heerlen,Netherlands,17,98,10,42,,4,7,,5,10
11167-75,19,49,3024.310618,Alcohol,505.3308494,2001,Actively Seeking New Employees,Paris,France,2,468,2,101,,,,,15,28
111683-08,0,0,,Angel (individual),,,,,,3,5,2,2,,,1,,,1
11169-28,2,14,266.1393344,Pets,49.3351821,1999,Actively Seeking New Employees,M������������������n,Germany,12,101,9,34,,4,5,,8,10
11169-55,1,6,,Banking,,1980,Actively Seeking New Employees,Englewood,United States,2,20,1,3,,1,1,,2,2
11169-82,28,47,,Pets,,1991,Actively Seeking New Employees,Singapore,Singapore,39,193,33,71,1,10,17,1,12,22
111698-11,0,1,,Angel (individual),,,Actively Seeking New Employees,Phoenix,United States,1,12,1,6,,,,,,
11170-00,0,15,,Pets,0,2002,Out of Business,London,United Kingdom,3,88,2,11,,,1,,,1
11170-09,0,19,300,Pets,82.4725754,2005,Actively Seeking New Employees,Houston,United States,46,209,24,51,,3,9,,5,12
11170-63,1,21,508.0841839,Pets,176.6849475,2002,Actively Seeking New Employees,Paris,France,29,150,20,75,,5,9,,9,17
11170-72,3,16,260.3253194,Food,4.7,1990,Actively Seeking New Employees,London,United Kingdom,1,54,1,7,,,,,,1
11170-81,14,76,,Pets,0,1986,Out of Business,Menlo Park,United States,1,202,1,5,,,,,,
111702-25,1,2,,Angel (individual),,,Actively Seeking New Employees,Boulder,United States,3,11,3,7,,,,,,
111703-06,0,0,,Pets,,2013,Out of Business,Boulder,United States,1,10,,8,,,,,,
111708-91,0,0,,Angel (individual),,,,Manassas,United States,1,3,1,2,,,,,,1
11171-08,1,17,440,Pets,,1962,Actively Seeking New Employees,Tel Aviv,Israel,8,79,8,23,,,,,1,1
11171-26,4,7,145.1669097,Pets,0,2001,Actively Seeking New Employees,Heidelberg,Germany,2,44,1,11,,1,1,,1,1
11171-35,2,16,,Pets,0,1999,Other,Newark,United States,4,67,3,21,,2,3,,5,9
11171-44,12,33,1085.76,Pets,264.2278178,2003,Actively Seeking New Employees,San Mateo,United States,58,244,32,50,1,10,21,1,10,24
11171-53,2,15,,Pets,15.18741727,1999,Acquired/Merged,Grenoble,France,3,83,3,27,,,1,,,1
111715-57,0,1,13,Pets,,2015,Actively Seeking New Employees,New York,United States,12,19,7,11,,1,2,,1,3
11172-43,23,48,,Pets,0,1970,Out of Business,Redwood City,United States,1,179,1,3,,,,,,
111720-97,0,0,,Angel (individual),,,,,,1,2,1,1,,,,,,
111723-13,0,1,,Office,,2018,Actively Seeking New Employees,Sydney,Australia,9,12,7,10,,1,2,,2,3
111724-66,0,1,,Angel (individual),,,,,,1,6,1,4,,,,,,
111727-00,0,1,,Family Office,,2008,Actively Seeking New Employees,Northbrook,United States,1,4,1,4,,,,,,
111727-99,3,2,88.67805817,Pets,8.89555035,2004,Actively Seeking New Employees,Tokyo,Japan,1,34,1,14,,,,,2,3
11173-42,5,26,525,Pets,69.9849986,1995,Actively Seeking New Employees,Scottsdale,United States,17,83,12,18,,1,1,,1,1
11173-60,14,52,,Pets,11.357055,1990,Actively Seeking New Employees,Saint Paul,United States,1,126,1,8,,,,,,
11174-14,15,47,300,Pets,,1989,Actively Seeking New Employees,New Haven,United States,75,581,43,211,,7,24,1,29,79
11174-86,15,96,770,Office,16.02732,1999,Actively Seeking New Employees,San Francisco,United States,102,445,73,142,,5,18,,8,23
11175-13,3,34,302.4310619,Pets,0.02243814,1994,Actively Seeking New Employees,Dublin,Ireland,4,164,3,39,,2,2,,3,4
11175-49,4,5,111.7,Pets,0.585,2006,Actively Seeking New Employees,San Mateo,United States,15,79,12,49,,3,4,,4,7
11175-85,0,11,415.208,Alcohol,74.73044615,2005,Actively Seeking New Employees,San Francisco,United States,1,40,1,15,,,,,,
111757-87,0,2,,Angel (individual),,,Actively Seeking New Employees,Santa Clara,United States,2,7,2,4,,1,1,,1,2
111759-76,0,0,,Angel (individual),,,,San Francisco,United States,3,5,3,3,,2,2,,2,2
11176-39,6,30,206.5,Pets,20.67118094,1996,Actively Seeking New Employees,West Conshohocken,United States,6,114,4,13,,,,,,
11176-75,1,40,584.5,Food,86.39799379,1999,Actively Seeking New Employees,Bronxville,United States,3,165,3,36,,,,,1,1
11177-20,16,43,,Pets,0,1985,Out of Business,La Jolla,United States,1,197,1,5,,,,,,
11177-47,4,23,1028.26561,Alcohol,,2000,Actively Seeking New Employees,Paris,France,13,232,11,103,,,2,,3,6
11177-92,23,68,62905.66086,Alcohol,30708.71011,1994,Actively Seeking New Employees,Stockholm,Sweden,4,940,3,101,,3,3,,88,134
111771-55,0,4,,Banking,,1981,Acquired/Merged,Roseville,United States,1,13,1,7,,,,,,
111779-02,1,0,,Pets,,1993,,Jinan,China,2,27,2,21,,,,,5,9
111787-84,0,0,,Angel (individual),,,,,,1,3,1,1,,,,,,
11179-54,19,46,3010.99,Growth/Expansion,538.2825278,1985,Actively Seeking New Employees,New York,United States,3,209,3,23,,1,1,,2,6
111799-00,0,3,,Pets,,,Actively Seeking New Employees,Mountain View,United States,13,23,9,15,,1,4,,1,4
11180-08,6,11,22742.81585,Alcohol,1060.646484,,Actively Seeking New Employees,Paris,France,23,257,14,51,,2,7,,15,27
11180-35,16,52,28509.57134,Furniture,3.1967056,1991,Actively Seeking New Employees,London,United Kingdom,8,306,6,119,,1,5,,3,8
11180-80,1,12,9.15063501,Alcohol,,1988,Actively Seeking New Employees,Savyon,Israel,1,16,1,1,,,,,,
111805-03,0,3,,Growth/Expansion,,2013,Actively Seeking New Employees,Potomac,United States,2,28,2,12,,,,,2,2
11182-24,1,30,124.01,Pets,11.48867253,1999,Actively Seeking New Employees,Waltham,United States,5,113,3,11,,1,1,,1,1
11182-69,5,9,43669.87111,Alcohol,17463.89945,1994,Actively Seeking New Employees,New York,United States,2,91,2,11,,,,,2,2
11183-32,9,20,929.3690114,Growth/Expansion,432.5966307,1997,Actively Seeking New Employees,London,United Kingdom,1,89,1,14,,,1,,1,3
11183-95,16,59,542.8032698,Pets,111.6216139,1998,Actively Seeking New Employees,Paris,France,29,302,24,100,,4,8,,5,14
111836-26,0,1,,Angel (individual),,,Actively Seeking New Employees,Cologne,Germany,3,13,2,6,,,,,,
11184-13,3,3,362.9172742,Growth/Expansion,68.55275635,1993,Actively Seeking New Employees,Tuebingen,Germany,3,62,3,31,,,1,,3,5
11184-31,0,5,,Office,,2016,Actively Seeking New Employees,Munich,Germany,50,88,36,52,,4,11,,4,11
11184-49,34,90,2000,Pets,242.1704238,1982,Actively Seeking New Employees,San Mateo,United States,67,410,42,67,2,11,21,2,17,30
11184-67,21,112,2000,Pets,8.60924008,1984,Not Making New Products,Campbell,United States,2,430,2,33,,,,,,
11185-12,0,4,,Pets,,,Actively Seeking New Employees,Portland,United States,1,11,1,4,,,,,,
11185-84,1,12,,Family Office,,1997,Actively Seeking New Employees,Munich,Germany,2,37,2,17,,,,,,
111851-83,0,1,,Toys,,2004,Actively Seeking New Employees,Frederick,United States,1,25,1,18,,,,,,
111853-27,0,1,,Angel (individual),,,Actively Seeking New Employees,New York,United States,3,13,3,10,,,,,1,3
111853-63,0,0,,Angel (individual),,,Actively Seeking New Employees,New York,United States,4,9,3,6,,,,,,
111853-99,0,0,,Angel (individual),,,,Wellesley,United States,1,3,1,2,,,,,,
11186-20,0,5,,Pets,0.31967043,2001,Actively Seeking New Employees,Paris,France,6,64,5,27,,,,,,
11186-29,7,38,,Pets,,1985,Will Consider New Projects,Li������������,Belgium,15,567,13,379,,4,7,,15,23
111865-78,3,12,,Angel Group,,2003,Actively Seeking New Employees,Paris,France,1,160,1,118,,,,,5,10
11187-82,0,8,,Pets,3.26371,2000,Actively Seeking New Employees,Barcelona,Spain,3,41,2,22,,1,1,,1,2
111873-97,0,2,,Angel (individual),,,Actively Seeking New Employees,Seattle,United States,1,7,1,2,,,,,,
11188-09,5,55,2700,Growth/Expansion,1134.197311,1998,Actively Seeking New Employees,San Francisco,United States,9,180,8,43,,1,2,,6,11
11188-63,0,10,150,Pets,281.1041412,2006,Actively Seeking New Employees,San Diego,United States,17,54,10,19,,3,8,,3,9
11188-90,3,8,244.508,Pets,91.93904,1980,Actively Seeking New Employees,Helsinki,Finland,2,78,2,52,,,1,1,5,8
11189-44,8,176,806.94,Pets,115.5675443,2004,Actively Seeking New Employees,Philadelphia,United States,133,878,93,220,1,14,31,1,18,38
111891-61,0,1,,Angel Group,,,Actively Seeking New Employees,Taipei,Taiwan,1,13,1,9,,,,,,
11190-25,1,5,12,Pets,0.33244473,2006,Actively Seeking New Employees,Laguna Hills,United States,1,22,1,6,,1,1,,1,1
11190-70,2,14,,Pets,,1998,Actively Seeking New Employees,Stuttgart,Germany,9,68,5,15,,1,2,,2,4
111901-42,1,1,,Pets,,2013,Actively Seeking New Employees,Denver,United States,6,21,5,13,,,2,,1,4
111907-81,0,0,10000,Real Estate,,1989,Actively Seeking New Employees,New York,United States,1,16,1,11,,,,,2,3
11191-87,3,92,1811.8,Pets,1100.730311,2006,Actively Seeking New Employees,New York,United States,219,618,156,242,1,29,63,2,37,73
11191-96,98,281,5023.534,Pets,1466.331925,1965,Actively Seeking New Employees,Menlo Park,United States,133,1029,84,170,,15,34,,17,39
111919-51,0,1,110000,Food,,1985,Actively Seeking New Employees,Madrid,Spain,1,2,1,1,,,,,,
11192-59,1,12,45,Pets,1.57667589,1999,Actively Seeking New Employees,Santa Fe,United States,5,62,3,17,,,1,,,1
111920-68,0,4,,Angel (individual),,,Actively Seeking New Employees,Austin,United States,10,24,9,15,,,1,,,1
11193-04,0,1,5,Pets,,2006,Actively Seeking New Employees,Princeton,United States,1,17,1,9,,,,,,
11193-13,36,134,3075,Pets,540.3484365,1995,Actively Seeking New Employees,Palo Alto,United States,114,687,85,177,,15,34,,17,43
11193-31,13,64,2419.448495,Alcohol,735.102255,2003,Actively Seeking New Employees,Oslo,Norway,14,323,10,104,,3,5,,15,25
111937-96,0,1,,Angel (individual),,,,Washington,United States,1,4,1,3,,,,,,
11194-12,44,68,4200,Pets,1162.39485,1991,Actively Seeking New Employees,Seattle,United States,1,388,1,52,,,1,,8,17
11194-39,0,10,43,Pets,10.28013336,2000,Actively Seeking New Employees,Shelburne,United States,20,78,10,21,,,3,,,4
11195-02,3,20,180,Toys,,1935,Actively Seeking New Employees,Tokyo,Japan,4,57,4,22,,,,,,1
111954-97,0,0,,Banking,,,,,,1,2,1,2,,,1,,,1
11196-28,5,37,83.3,Pets,7.1425535,1998,Actively Seeking New Employees,Palo Alto,United States,8,114,8,23,,,,,,
11197-00,10,47,700,Pets,220,1993,Actively Seeking New Employees,Herzliya,Israel,11,203,7,19,,,1,,,1
11197-45,6,10,95,Pets,0,2000,Actively Seeking New Employees,Toronto,Canada,3,54,2,10,,1,1,,2,2
11197-72,1,21,229.847607,Alcohol,8.97238282,1999,Actively Seeking New Employees,Prague,Czech Republic,2,75,2,19,,,,,,3
11197-90,3,9,,Pets,,1983,Actively Seeking New Employees,Geneva,Switzerland,1,26,1,4,,1,1,,1,2
111979-45,2,2,,Alcohol,,,Actively Seeking New Employees,Hong Kong,Hong Kong,7,25,7,20,,,1,,1,2
11198-08,1,18,5161.4,Banking,,1928,Actively Seeking New Employees,Minneapolis,United States,1,39,1,4,,,,,,
111988-72,0,0,,Angel (individual),,,,,,2,6,1,3,,,,,,
11199-34,1,0,100,Furniture,,1980,Actively Seeking New Employees,Bethesda,United States,1,7,1,2,,,1,,3,4
11199-52,0,2,,Pets,,2000,Actively Seeking New Employees,Los Gatos,United States,1,9,1,1,,,,,,
11199-61,40,112,2419.448495,Alcohol,0,1980,Actively Seeking New Employees,Antwerp,Belgium,3,495,2,66,,1,1,,10,19
11199-79,13,43,600,Pets,0,1992,Actively Seeking New Employees,Tel Aviv,Israel,4,156,3,11,,,,,,
11200-24,3,33,550.953057,Alcohol,127.7466468,1998,Actively Seeking New Employees,London,United Kingdom,15,165,8,49,1,3,6,1,9,13
11200-78,1,11,,Pets,0,1999,Actively Seeking New Employees,Tokyo,Japan,2,74,2,8,,,,,,
11201-59,18,66,2000,Pets,290.5693118,1996,Actively Seeking New Employees,Santa Monica,United States,86,359,61,95,,10,22,,12,25
11201-77,56,35,1700,Pets,127.5902819,1974,Actively Seeking New Employees,Menlo Park,United States,33,156,24,41,,7,11,,7,12
112019-23,1,9,27.3,Pets,12.68314315,2014,Actively Seeking New Employees,San Mateo,United States,4,25,4,11,,,,,,
11202-04,3,11,1100,Pets,39.34054793,2002,Actively Seeking New Employees,Shanghai,China,25,270,18,165,,1,3,,6,11
11202-94,14,23,375.8,Alcohol,541.2752448,1993,Actively Seeking New Employees,Hamilton,Bermuda,1,77,1,6,,,1,,,1
11203-21,54,66,9200,Pets,1307.909529,2000,Actively Seeking New Employees,Menlo Park,United States,160,732,107,306,,24,57,1,62,117
11203-30,0,19,211,Pets,0,2000,Actively Seeking New Employees,Needham,United States,4,78,3,9,,,,,,
112030-03,0,4,,Banking,,,,New York,United States,1,1,1,1,,,,,,
112031-20,0,4,,Angel (individual),,,,,,1,7,1,2,,,,,,
11204-20,7,21,3000,Pets,193.5565714,2004,Actively Seeking New Employees,Palo Alto,United States,42,374,29,200,,7,16,1,22,41
11204-56,7,55,700,Pets,4.42779733,1988,Actively Seeking New Employees,Farmington Hills,United States,47,271,34,64,,4,10,,4,12
11204-74,5,11,1300,Alcohol,409.6866105,1999,Actively Seeking New Employees,Mumbai,India,1,73,1,24,,,,,,
112043-71,0,1,,Angel (individual),,,Actively Seeking New Employees,San Francisco,United States,1,5,1,4,,,,,,
112048-12,0,1,1043.145219,Banking,,1927,Actively Seeking New Employees,Dublin,Ireland,1,15,1,7,,,,,,2
11205-46,50,77,3300,Furniture,0,1986,Actively Seeking New Employees,Boston,United States,3,213,2,14,,1,2,,2,7
11205-55,14,20,2100,Alcohol,0.44912454,1985,Actively Seeking New Employees,Hong Kong,Hong Kong,1,103,1,33,,,,,,
11205-64,18,81,1000,Pets,0,1992,Actively Seeking New Employees,San Francisco,United States,6,255,3,14,,,1,,,1
