Age,Sex,Job,Housing,Saving accounts,Checking account,Duration,Purpose,Risk,Credit amount,Recovered_Principle,Recoveries,type
40,female,2,rent,little,moderate,18,furniture/equipment,good,9600,9600,0,CRM Data
36,male,2,own,NA,NA,36,car,good,15000,15000,0,CRM Data
33,male,2,own,little,NA,18,radio/TV,good,6000,6000,0,CRM Data
23,female,2,rent,little,NA,10,furniture/equipment,good,20000,20000,0,CRM Data
63,male,3,free,NA,NA,60,car,good,15000,15000,0,CRM Data
60,female,3,free,moderate,moderate,60,vacation/others,bad,12250,277.21,2670.64,CRM Data
37,female,2,rent,little,little,48,business,bad,16000,1109.41,0,CRM Data
34,male,2,own,little,NA,18,radio/TV,good,35000,35000,0,CRM Data
36,male,2,free,NA,NA,7,radio/TV,good,2100,2100,0,CRM Data
57,male,3,free,little,moderate,36,car,bad,15000,322.94,2659.95,CRM Data
52,female,1,own,moderate,NA,6,car,good,12000,12000,0,CRM Data
39,male,2,own,NA,little,20,furniture/equipment,good,8425,8425,0,CRM Data
38,female,3,free,little,moderate,18,car,bad,16000,1125.65,2640.13,CRM Data
25,female,2,rent,NA,NA,22,car,good,5750,975.46,0,CRM Data
26,male,2,own,little,rich,12,car,good,24000,24000,0,CRM Data
26,male,1,own,moderate,NA,30,business,good,30000,30000,0,CRM Data
25,female,2,own,little,NA,18,radio/TV,good,31500,31500,0,CRM Data
21,female,2,rent,NA,NA,18,radio/TV,good,7000,7000,0,CRM Data
40,male,3,own,little,moderate,18,furniture/equipment,good,2000,2000,0,CRM Data
27,male,2,own,quite rich,moderate,15,business,good,3000,3000,0,CRM Data
27,female,2,own,little,NA,9,business,good,10000,10000,0,CRM Data
30,male,3,own,little,NA,18,car,good,25000,25000,0,CRM Data
19,female,1,rent,rich,moderate,12,furniture/equipment,good,21300,21300,0,CRM Data
39,male,3,free,little,little,36,car,good,14400,14400,0,CRM Data
31,female,2,own,little,little,6,radio/TV,good,3000,3000,0,CRM Data
31,male,3,own,little,NA,9,furniture/equipment,good,15000,15000,0,CRM Data
32,male,2,rent,moderate,moderate,39,education,good,5000,5000,0,CRM Data
55,female,3,free,little,little,12,furniture/equipment,good,16000,16000,0,CRM Data
46,male,2,own,little,little,36,furniture/equipment,good,24300,24300,0,CRM Data
46,male,2,rent,little,moderate,12,car,bad,15000,340.93,0,CRM Data
43,female,1,own,rich,NA,24,radio/TV,good,10000,10000,0,CRM Data
39,male,2,own,little,NA,18,radio/TV,good,1000,1000,0,CRM Data
28,male,2,own,NA,moderate,18,business,good,26250,26250,0,CRM Data
27,male,2,own,little,NA,24,business,bad,12575,366.86,2617.25,CRM Data
27,male,1,own,little,NA,14,car,good,12800,12800,0,CRM Data
43,male,2,own,NA,moderate,18,car,good,16000,16000,0,CRM Data
22,male,2,own,little,moderate,24,radio/TV,bad,15000,663.19,2585.51,CRM Data
43,male,2,own,NA,NA,24,car,good,19025,19025,0,CRM Data
27,male,2,own,little,little,15,radio/TV,good,6000,6000,0,CRM Data
26,male,3,own,quite rich,NA,24,radio/TV,good,7925,7925,0,CRM Data
28,male,2,own,quite rich,rich,12,car,bad,15000,692.75,0,CRM Data
20,female,2,own,little,moderate,24,radio/TV,good,9000,9000,0,CRM Data
35,male,3,own,little,NA,33,car,good,16000,16000,0,CRM Data
42,male,3,own,little,NA,12,business,bad,15000,995.39,2529.67,CRM Data
40,male,1,rent,quite rich,NA,10,car,good,24000,24000,0,CRM Data
35,female,2,own,NA,little,24,car,bad,14300,577.12,2527.3,CRM Data
35,male,2,own,little,NA,36,car,good,24000,24000,0,CRM Data
33,male,1,own,little,little,12,car,bad,13500,112.35,2509.88,CRM Data
23,female,2,rent,NA,little,18,education,good,15000,15000,0,CRM Data
31,female,3,own,quite rich,NA,21,car,good,14400,14400,0,CRM Data
33,female,2,own,NA,moderate,18,car,bad,14000,0,2506.87,CRM Data
20,female,2,rent,rich,NA,15,car,good,2500,2500,0,CRM Data
30,male,2,own,NA,moderate,12,car,good,3000,3000,0,CRM Data
47,male,1,own,little,moderate,12,car,good,35000,35000,0,CRM Data
34,male,3,own,moderate,NA,21,furniture/equipment,good,12000,12000,0,CRM Data
25,female,2,own,NA,moderate,12,furniture/equipment,bad,11975,394.73,2473.49,CRM Data
21,male,2,rent,little,moderate,18,car,good,12000,12000,0,CRM Data
29,male,2,own,little,NA,28,radio/TV,good,15500,15500,0,CRM Data
46,male,2,own,rich,NA,18,radio/TV,good,8000,8000,0,CRM Data
20,male,2,own,little,NA,9,furniture/equipment,good,6000,6000,0,CRM Data
55,female,0,free,little,little,18,repairs,bad,14000,313.65,2455.69,CRM Data
74,male,1,own,little,NA,5,business,good,17625,17625,0,CRM Data
29,male,3,own,little,moderate,24,vacation/others,bad,12000,581.17,2448.46,CRM Data
36,male,3,free,little,little,6,furniture/equipment,good,12000,12000,0,CRM Data
33,male,2,own,little,NA,24,repairs,good,15000,15000,0,CRM Data
25,male,2,own,little,little,9,furniture/equipment,good,6000,6000,0,CRM Data
25,male,2,own,NA,moderate,12,radio/TV,bad,13225,258.5,2406.29,CRM Data
23,male,1,rent,quite rich,NA,6,repairs,good,4200,4200,0,CRM Data
37,female,2,own,rich,NA,24,car,good,20000,20000,0,CRM Data
65,male,0,own,little,little,42,repairs,good,21700,21700,0,CRM Data
26,female,0,own,little,rich,12,business,bad,14000,657.85,0,CRM Data
39,male,3,own,little,NA,12,car,good,29750,29750,0,CRM Data
30,female,2,own,little,little,12,furniture/equipment,good,35000,35000,0,CRM Data
29,male,2,own,little,moderate,20,vacation/others,good,25000,25000,0,CRM Data
41,male,1,own,little,NA,12,education,bad,13150,139.98,2359.18,CRM Data
30,female,3,own,little,moderate,48,furniture/equipment,bad,13050,258.71,2345.4,CRM Data
41,female,1,rent,NA,NA,9,education,good,12000,12000,0,CRM Data
34,female,2,own,little,little,36,car,bad,12650,124.35,2296.66,CRM Data
35,male,2,own,little,moderate,7,radio/TV,good,6200,6200,0,CRM Data
55,female,3,own,NA,rich,12,furniture/equipment,good,24425,24425,0,CRM Data
61,male,2,own,rich,moderate,15,repairs,bad,12425,210.43,2287.99,CRM Data
30,male,3,own,NA,NA,36,car,good,2750,2750,0,CRM Data
29,female,2,own,little,NA,6,radio/TV,good,11400,11400,0,CRM Data
34,male,2,own,little,NA,12,furniture/equipment,good,12975,12975,0,CRM Data
35,male,3,own,little,NA,24,car,good,12000,12000,0,CRM Data
31,male,2,own,little,little,24,car,bad,12450,0,2284.36,CRM Data
29,female,3,own,little,NA,24,car,good,5500,5500,0,CRM Data
36,male,2,rent,little,little,11,car,good,7500,7500,0,CRM Data
35,male,2,free,little,little,12,car,bad,12500,228.51,0,CRM Data
27,female,2,own,little,little,6,domestic appliances,good,4000,4000,0,CRM Data
32,male,2,own,little,NA,18,radio/TV,good,4800,4800,0,CRM Data
37,male,2,own,little,little,36,furniture/equipment,good,34500,34500,0,CRM Data
36,male,2,own,little,little,15,car,good,8000,8000,0,CRM Data
34,female,3,rent,little,moderate,12,furniture/equipment,good,6000,6000,0,CRM Data
38,male,2,own,NA,moderate,12,education,good,10000,10000,0,CRM Data
34,male,2,own,little,NA,18,business,good,8400,8400,0,CRM Data
63,male,2,own,little,little,24,car,good,35000,35000,0,CRM Data
29,female,1,rent,little,little,24,radio/TV,bad,12950,547.42,2262.61,CRM Data
32,male,2,own,NA,NA,48,radio/TV,good,10400,10400,0,CRM Data
26,female,2,own,little,NA,33,business,good,12000,12000,0,CRM Data
35,male,1,own,little,NA,24,car,good,3000,3000,0,CRM Data
22,male,2,rent,moderate,moderate,24,radio/TV,bad,12600,139.97,2245.76,CRM Data
23,female,2,own,little,little,6,education,bad,12000,0,2243.86,CRM Data
28,male,1,own,little,little,9,car,bad,12725,334.47,0,CRM Data
36,male,3,own,NA,NA,6,education,good,12000,12000,0,CRM Data
33,male,2,own,little,moderate,18,radio/TV,bad,11975,98.91,2228.69,CRM Data
26,female,2,rent,little,little,18,furniture/equipment,bad,12000,121.84,2176.12,CRM Data
24,male,2,own,quite rich,NA,39,car,good,35000,35000,0,CRM Data
25,male,2,own,little,rich,24,radio/TV,good,6300,6300,0,CRM Data
39,male,1,own,moderate,moderate,12,business,good,7200,7200,0,CRM Data
44,male,2,own,little,little,15,furniture/equipment,good,35000,35000,0,CRM Data
23,female,1,own,little,moderate,12,radio/TV,good,16000,16000,0,CRM Data
26,male,2,own,little,moderate,24,car,good,28000,28000,0,CRM Data
57,female,2,rent,rich,little,30,furniture/equipment,good,23975,23975,0,CRM Data
30,female,2,own,rich,NA,15,furniture/equipment,good,19500,19500,0,CRM Data
44,male,2,own,quite rich,NA,12,car,good,3500,3500,0,CRM Data
47,male,3,own,little,moderate,6,car,bad,12000,0,2134.77,CRM Data
52,male,2,own,little,NA,12,radio/TV,good,6000,6000,0,CRM Data
62,female,2,free,little,NA,24,car,good,24000,24000,0,CRM Data
35,male,1,rent,moderate,NA,10,car,good,20000,20000,0,CRM Data
26,male,2,rent,little,NA,6,car,good,5000,5000,0,CRM Data
26,male,2,own,little,NA,12,radio/TV,good,7000,7000,0,CRM Data
42,female,3,free,little,moderate,27,business,bad,12000,359.81,2134.36,CRM Data
27,female,2,own,moderate,NA,6,radio/TV,good,7000,7000,0,CRM Data
38,male,2,own,NA,moderate,6,radio/TV,good,16650,16650,0,CRM Data
39,male,1,rent,little,little,12,car,good,7500,7500,0,CRM Data
20,male,2,own,NA,little,24,furniture/equipment,bad,11400,99.99,0,CRM Data
29,male,3,rent,moderate,moderate,36,furniture/equipment,bad,12375,807.36,2098.9,CRM Data
40,male,2,own,little,NA,24,furniture/equipment,good,20000,20000,0,CRM Data
32,male,1,own,little,moderate,18,radio/TV,good,3500,3500,0,CRM Data
28,male,2,own,moderate,rich,6,car,good,8675,8675,0,CRM Data
27,female,2,own,little,little,24,car,bad,11650,339.87,2081.86,CRM Data
42,male,2,free,little,little,36,car,good,8000,8000,0,CRM Data
49,male,2,own,moderate,rich,9,radio/TV,good,2100,2100,0,CRM Data
38,male,2,own,moderate,moderate,24,radio/TV,bad,11450,112.56,2078.79,CRM Data
24,female,2,rent,little,little,24,car,bad,12075,763.58,0,CRM Data
27,male,1,own,NA,NA,10,car,bad,11700,251.43,2075.91,CRM Data
36,male,2,own,quite rich,rich,15,car,good,3000,3000,0,CRM Data
34,male,3,own,moderate,moderate,15,car,bad,12000,551.71,0,CRM Data
28,male,2,own,little,NA,24,radio/TV,good,10000,10000,0,CRM Data
45,male,3,own,moderate,NA,39,car,good,20000,20000,0,CRM Data
26,male,2,own,little,little,12,car,bad,11225,231.84,2013.05,CRM Data
32,male,3,free,little,NA,36,car,good,20000,20000,0,CRM Data
26,male,2,rent,little,rich,15,business,good,7300,7300,0,CRM Data
20,male,2,rent,little,moderate,12,radio/TV,good,25000,25000,0,CRM Data
54,male,2,own,NA,NA,24,car,good,1450,1450,0,CRM Data
37,female,2,own,little,little,6,car,good,12000,12000,0,CRM Data
40,male,1,own,little,little,6,car,good,35000,35000,0,CRM Data
23,female,2,rent,little,NA,36,furniture/equipment,bad,12000,581.17,0,CRM Data
43,male,2,own,moderate,little,6,car,good,7200,7200,0,CRM Data
36,male,2,free,NA,NA,6,radio/TV,good,20000,20000,0,CRM Data
44,male,2,free,little,NA,24,repairs,good,4025,4025,0,CRM Data
24,female,2,own,little,little,18,radio/TV,bad,10975,101.94,2009.33,CRM Data
53,male,2,free,little,little,48,furniture/equipment,bad,11200,326.75,2001.44,CRM Data
23,female,2,own,moderate,NA,24,car,good,10000,10000,0,CRM Data
26,female,1,own,little,moderate,18,radio/TV,good,7000,7000,0,CRM Data
30,male,2,own,little,moderate,26,car,good,15000,15000,0,CRM Data
31,female,2,own,moderate,NA,15,education,good,29400,29400,0,CRM Data
42,male,1,own,little,NA,4,radio/TV,good,35000,35000,0,CRM Data
31,male,2,rent,little,little,36,radio/TV,bad,12000,588.24,1998.85,CRM Data
41,male,1,own,little,little,6,car,good,29300,29300,0,CRM Data
32,male,2,own,little,moderate,36,education,good,8000,8000,0,CRM Data
28,female,2,rent,moderate,moderate,15,car,bad,10500,90.75,1939.32,CRM Data
41,male,2,rent,little,NA,12,car,good,7200,7200,0,CRM Data
26,male,2,own,moderate,NA,24,radio/TV,good,8000,8000,0,CRM Data
25,male,2,own,NA,NA,24,radio/TV,good,20000,20000,0,CRM Data
33,male,2,rent,little,rich,21,education,bad,8875,187,1931.82,CRM Data
75,female,3,own,NA,little,6,car,good,24000,24000,0,CRM Data
37,female,2,own,little,moderate,18,furniture/equipment,good,10000,10000,0,CRM Data
42,male,3,free,little,little,48,car,bad,10800,249.98,1889.82,CRM Data
45,female,1,own,little,rich,18,furniture/equipment,good,10000,10000,0,CRM Data
23,male,2,rent,little,moderate,12,radio/TV,bad,10200,0,1860.5,CRM Data
60,male,2,free,little,NA,24,car,good,25000,25000,0,CRM Data
31,male,2,own,NA,little,30,furniture/equipment,bad,10500,401.07,1844.09,CRM Data
34,male,1,own,little,rich,18,furniture/equipment,bad,9100,402.21,1832.63,CRM Data
61,male,1,own,little,NA,12,car,good,3000,3000,0,CRM Data
43,male,2,free,little,little,24,car,bad,10000,0,1819.35,CRM Data
37,female,2,own,little,NA,24,car,good,13975,13975,0,CRM Data
32,male,2,own,little,NA,24,radio/TV,good,13500,13500,0,CRM Data
24,female,1,own,little,little,12,radio/TV,bad,10000,0,1817.3,CRM Data
35,male,2,free,NA,NA,48,car,good,7200,7200,0,CRM Data
23,female,2,own,NA,NA,12,repairs,good,8000,8000,0,CRM Data
45,male,1,own,quite rich,NA,6,radio/TV,good,19625,19625,0,CRM Data
34,male,2,own,little,little,48,radio/TV,bad,10375,443.16,1807.09,CRM Data
27,male,2,own,moderate,moderate,12,car,good,15000,15000,0,CRM Data
67,female,3,own,little,moderate,9,education,good,16325,16325,0,CRM Data
22,male,2,own,little,moderate,12,radio/TV,bad,9800,0,1800.84,CRM Data
28,female,2,own,moderate,moderate,18,car,bad,9250,952.86,1748.21,CRM Data
29,female,2,own,NA,NA,21,car,bad,10000,349.28,1731.26,CRM Data
27,male,2,own,little,little,24,furniture/equipment,bad,10000,0,1731.21,CRM Data
31,male,1,own,little,moderate,18,furniture/equipment,bad,10000,452.92,1708.01,CRM Data
49,male,2,free,NA,little,24,car,good,6500,6500,0,CRM Data
24,male,1,rent,little,little,24,radio/TV,bad,8000,348.91,1700.7,CRM Data
29,female,2,own,little,rich,6,radio/TV,good,15000,15000,0,CRM Data
37,male,2,free,NA,moderate,36,car,bad,9600,207.92,0,CRM Data
37,male,3,own,NA,moderate,24,business,good,4000,4000,0,CRM Data
23,female,2,rent,moderate,moderate,24,radio/TV,good,20000,20000,0,CRM Data
36,male,2,own,little,little,12,car,bad,10000,462.31,0,CRM Data
34,male,2,own,rich,NA,24,radio/TV,good,35000,35000,0,CRM Data
41,male,2,own,NA,moderate,48,radio/TV,good,20150,20150,0,CRM Data
31,female,2,own,little,little,48,radio/TV,bad,9600,393.85,0,CRM Data
23,female,1,rent,little,little,24,furniture/equipment,bad,9450,384.72,0,CRM Data
38,male,2,own,little,NA,30,radio/TV,good,15000,15000,0,CRM Data
26,female,3,rent,NA,NA,24,car,good,13000,13000,0,CRM Data
22,female,1,own,little,little,15,business,good,4200,4200,0,CRM Data
27,male,1,own,little,moderate,9,radio/TV,good,6050,6050,0,CRM Data
24,female,2,own,little,NA,15,furniture/equipment,good,10000,10000,0,CRM Data
27,female,2,own,little,moderate,12,radio/TV,good,6000,6000,0,CRM Data
33,female,2,own,NA,NA,24,education,good,18000,18000,0,CRM Data
27,male,2,own,little,moderate,36,car,bad,9475,398.69,0,CRM Data
27,male,1,own,little,NA,24,education,good,6900,6900,0,CRM Data
30,male,2,own,little,moderate,18,car,bad,9125,0,0,CRM Data
49,male,1,own,little,moderate,12,car,good,12000,12000,0,CRM Data
26,female,2,rent,little,NA,9,furniture/equipment,good,10850,10850,0,CRM Data
33,male,1,rent,little,moderate,36,repairs,bad,7000,331.57,0,CRM Data
52,female,3,free,NA,NA,12,car,good,10000,10000,0,CRM Data
20,female,2,rent,little,little,18,furniture/equipment,bad,10000,866.65,0,CRM Data
36,male,2,rent,little,little,9,car,good,5000,5000,0,CRM Data
21,male,1,own,little,little,12,furniture/equipment,good,18000,18000,0,CRM Data
47,male,1,own,little,little,18,domestic appliances,bad,9000,190.79,0,CRM Data
60,male,2,own,little,little,12,furniture/equipment,bad,9000,192.96,0,CRM Data
58,female,1,own,little,little,12,radio/TV,good,11000,11000,0,CRM Data
42,female,2,rent,NA,moderate,24,car,good,12800,12800,0,CRM Data
36,female,1,own,rich,NA,21,business,good,19000,19000,0,CRM Data
20,female,1,rent,little,moderate,24,car,bad,8575,725.89,0,CRM Data
40,male,3,own,NA,little,24,vacation/others,bad,9300,437.6,0,CRM Data
32,female,1,own,moderate,moderate,6,car,bad,9325,661.29,0,CRM Data
23,female,2,rent,little,little,24,car,bad,8950,411.49,0,CRM Data
36,male,1,own,little,moderate,24,business,bad,7000,313.91,1497.91,CRM Data
31,male,2,own,little,NA,18,car,bad,9000,633.18,1487.61,CRM Data
32,male,2,free,little,NA,24,business,good,29975,29975,0,CRM Data
45,female,2,own,little,moderate,7,radio/TV,good,13500,13500,0,CRM Data
30,female,2,own,little,moderate,9,furniture/equipment,bad,8400,194.14,1460.77,CRM Data
34,female,1,free,little,moderate,24,education,bad,8000,0,1441.94,CRM Data
28,female,3,own,little,NA,36,furniture/equipment,bad,8400,376.71,1441.67,CRM Data
23,female,2,own,little,rich,10,furniture/equipment,good,12000,12000,0,CRM Data
22,male,2,own,quite rich,little,24,furniture/equipment,good,1325,1325,0,CRM Data
74,male,3,own,little,NA,24,business,good,28375,28375,0,CRM Data
50,female,2,free,moderate,moderate,36,radio/TV,bad,8000,0,1413.48,CRM Data
33,male,2,own,little,NA,18,radio/TV,good,28000,28000,0,CRM Data
45,male,2,free,NA,NA,15,car,good,8400,8400,0,CRM Data
22,female,2,own,moderate,little,12,domestic appliances,bad,7000,317.04,1408.1,CRM Data
48,female,1,free,moderate,rich,10,car,bad,8000,371.13,1356.24,CRM Data
29,female,2,own,rich,little,21,radio/TV,good,5725,5725,0,CRM Data
22,female,2,rent,little,little,24,car,good,10000,10000,0,CRM Data
22,female,2,own,little,NA,18,furniture/equipment,bad,9000,629.51,1350,CRM Data
48,male,3,own,NA,moderate,48,business,good,3000,3000,0,CRM Data
27,male,3,free,NA,moderate,60,radio/TV,good,2500,2500,0,CRM Data
37,male,2,rent,little,little,6,car,good,35000,34999.99,0,CRM Data
21,female,2,rent,moderate,moderate,30,furniture/equipment,bad,7900,504.8,1349.27,CRM Data
49,male,1,own,little,NA,12,car,good,19225,19225,0,CRM Data
27,male,2,own,little,moderate,21,business,good,10400,10400,0,CRM Data
32,male,2,own,little,NA,18,car,bad,7525,157.09,1345.86,CRM Data
38,male,2,own,NA,NA,48,business,bad,8000,560.95,1322.93,CRM Data
22,female,2,rent,little,little,12,furniture/equipment,good,2525,2525,0,CRM Data
65,male,2,free,little,little,18,radio/TV,bad,7475,317.39,1304.54,CRM Data
35,male,2,own,NA,NA,15,radio/TV,good,24000,24000,0,CRM Data
41,male,2,own,little,rich,6,furniture/equipment,good,9475,9475,0,CRM Data
29,male,2,own,moderate,moderate,9,car,bad,7500,173.34,1304.53,CRM Data
36,male,2,own,quite rich,NA,42,furniture/equipment,good,8000,8000,0,CRM Data
64,male,1,own,NA,NA,9,education,good,16500,16500,0,CRM Data
28,female,2,own,little,little,24,radio/TV,good,22400,22400,0,CRM Data
44,male,2,own,little,little,18,furniture/equipment,bad,7500,174.14,1302.84,CRM Data
23,male,2,own,NA,moderate,15,radio/TV,good,8000,8000,0,CRM Data
19,female,2,rent,little,NA,9,furniture/equipment,bad,7000,0,1267.92,CRM Data
25,female,1,own,little,moderate,24,car,bad,7000,480.65,1240,CRM Data
47,male,2,own,little,NA,12,education,good,10000,10000,0,CRM Data
28,female,2,own,quite rich,NA,24,radio/TV,good,12000,12000,0,CRM Data
21,male,2,own,little,NA,60,radio/TV,good,28000,28000,0,CRM Data
34,female,2,own,little,NA,12,radio/TV,good,15600,15600,0,CRM Data
26,male,2,own,little,little,42,radio/TV,bad,7000,159.22,1223.2,CRM Data
27,female,0,own,little,little,18,education,bad,7000,160.06,1221.41,CRM Data
38,male,1,own,little,moderate,15,repairs,good,14000,14000,0,CRM Data
40,male,3,own,moderate,NA,15,education,bad,7000,321.84,1192.58,CRM Data
33,male,2,own,little,NA,24,radio/TV,good,1000,1000,0,CRM Data
32,male,3,own,little,little,18,radio/TV,good,19675,19675,0,CRM Data
27,male,2,rent,NA,NA,36,business,bad,6200,548.3,1190.81,CRM Data
32,male,2,own,little,little,30,furniture/equipment,good,18000,18000,0,CRM Data
26,female,2,own,quite rich,NA,12,car,bad,7075,496.09,1167.73,CRM Data
38,male,2,free,little,rich,24,car,bad,6050,557.07,1157.36,CRM Data
40,male,1,rent,little,little,12,education,bad,6700,451.2,1124.87,CRM Data
50,male,3,free,little,little,48,education,good,12000,12000,0,CRM Data
37,male,1,own,little,moderate,12,furniture/equipment,bad,6000,0,1108.42,CRM Data
45,male,2,own,little,little,24,car,bad,6000,0,1096.5,CRM Data
42,male,3,own,moderate,moderate,36,car,bad,7000,510.54,1080,CRM Data
35,male,2,own,little,NA,24,car,good,8000,8000,0,CRM Data
22,male,2,free,little,little,14,car,good,8800,8800,0,CRM Data
41,male,1,own,little,moderate,12,car,bad,6000,0,1079.85,CRM Data
37,male,2,own,NA,NA,48,radio/TV,good,6000,6000,0,CRM Data
28,female,2,own,little,moderate,30,business,good,15000,15000,0,CRM Data
41,male,2,own,little,moderate,18,furniture/equipment,good,8400,8400,0,CRM Data
23,male,2,rent,little,rich,12,radio/TV,good,10000,10000,0,CRM Data
23,male,2,own,NA,little,12,car,bad,6000,0,1076.81,CRM Data
50,male,2,own,little,NA,21,furniture/equipment,good,5000,5000,0,CRM Data
35,male,3,own,little,moderate,6,furniture/equipment,good,8700,8700,0,CRM Data
50,female,1,own,little,rich,6,education,good,16000,16000,0,CRM Data
27,male,3,own,little,NA,24,vacation/others,good,14000,14000,0,CRM Data
34,male,2,own,rich,moderate,30,furniture/equipment,good,19425,19425,0,CRM Data
27,female,2,own,little,NA,48,business,good,32000,32000,0,CRM Data
43,male,2,rent,little,little,12,car,bad,6000,0,1074.27,CRM Data
47,male,2,own,little,rich,30,radio/TV,good,20700,20700,0,CRM Data
27,male,1,own,moderate,NA,24,business,good,6500,6500,0,CRM Data
31,male,2,own,moderate,NA,36,business,good,30000,30000,0,CRM Data
42,male,3,own,little,NA,60,car,good,2500,2500,0,CRM Data
24,male,2,own,quite rich,NA,6,car,good,4425,4425,0,CRM Data
41,male,1,own,quite rich,NA,21,business,bad,6250,278.84,1066.57,CRM Data
26,female,3,rent,little,NA,30,radio/TV,good,25000,25000,0,CRM Data
33,male,2,own,little,NA,24,furniture/equipment,good,28000,28000,0,CRM Data
24,male,2,own,moderate,moderate,72,radio/TV,bad,6000,0,1065.56,CRM Data
64,male,1,rent,little,little,24,radio/TV,good,12000,12000,0,CRM Data
26,female,2,own,little,NA,18,radio/TV,good,10000,10000,0,CRM Data
56,female,2,own,little,NA,6,education,good,10400,10400,0,CRM Data
37,male,2,free,NA,NA,12,radio/TV,good,7200,7200,0,CRM Data
33,male,2,own,little,NA,15,radio/TV,good,4500,4500,0,CRM Data
47,male,2,free,little,NA,24,radio/TV,good,10000,10000,0,CRM Data
31,male,1,own,moderate,moderate,36,business,good,5000,5000,0,CRM Data
34,male,2,free,NA,NA,60,car,good,21000,20999.99,0,CRM Data
27,male,2,own,NA,rich,10,radio/TV,good,16000,16000,0,CRM Data
30,male,2,free,moderate,moderate,36,car,good,3000,3000,0,CRM Data
35,male,2,own,moderate,NA,9,radio/TV,good,6000,6000,0,CRM Data
31,male,2,own,rich,little,12,car,good,5500,5500,0,CRM Data
25,male,2,own,little,little,15,furniture/equipment,good,7500,7500,0,CRM Data
25,female,1,own,moderate,moderate,15,repairs,good,9125,9125,0,CRM Data
29,male,2,own,moderate,moderate,24,radio/TV,good,1800,1800,0,CRM Data
44,male,1,own,NA,little,6,car,good,24000,2418.16,0,CRM Data
28,male,2,own,little,NA,24,radio/TV,good,9500,9500,0,CRM Data
50,male,2,rent,quite rich,NA,6,car,good,20000,20000,0,CRM Data
29,male,2,own,little,moderate,12,radio/TV,good,18400,18400,0,CRM Data
38,female,0,own,little,NA,12,car,good,28000,28000,0,CRM Data
24,male,2,own,little,NA,18,radio/TV,good,20000,20000,0,CRM Data
40,male,3,rent,little,rich,15,education,good,28000,28000,0,CRM Data
29,female,1,rent,quite rich,NA,12,furniture/equipment,bad,6000,128.94,1065.3,CRM Data
46,male,2,free,little,little,48,car,bad,6275,418.88,1056.82,CRM Data
47,female,2,free,moderate,rich,24,radio/TV,good,10000,10000,0,CRM Data
41,male,2,own,moderate,moderate,30,business,good,11625,11625,0,CRM Data
32,female,2,own,little,moderate,27,business,good,10000,10000,0,CRM Data
35,female,2,free,quite rich,NA,15,car,good,12000,12000,0,CRM Data
24,male,2,own,moderate,moderate,48,car,bad,5000,230.92,1053.5,CRM Data
25,female,2,rent,little,moderate,12,furniture/equipment,bad,6250,420.88,1049.5,CRM Data
25,female,2,own,little,moderate,9,radio/TV,good,26375,26375,0,CRM Data
37,male,1,own,little,moderate,9,radio/TV,good,9600,9600,0,CRM Data
32,male,3,own,quite rich,NA,18,radio/TV,good,12000,12000,0,CRM Data
35,female,2,free,little,little,6,education,bad,6000,137.82,1045.94,CRM Data
46,male,3,own,NA,NA,21,car,good,5400,5400,0,CRM Data
25,male,1,own,little,little,9,radio/TV,good,7500,7500,0,CRM Data
27,male,3,own,little,moderate,60,car,bad,5000,230.92,1029.26,CRM Data
63,male,2,own,NA,NA,30,car,good,14400,14400,0,CRM Data
40,male,2,own,NA,NA,30,radio/TV,good,4800,4800,0,CRM Data
32,male,3,free,little,NA,18,radio/TV,good,7200,7200,0,CRM Data
31,male,2,own,NA,rich,24,radio/TV,good,18000,18000,0,CRM Data
31,male,2,own,moderate,moderate,20,car,good,9450,9450,0,CRM Data
34,male,3,own,little,rich,9,radio/TV,bad,6000,271.56,1026.05,CRM Data
24,female,2,rent,rich,moderate,6,education,bad,6000,278.35,1017.18,CRM Data
24,female,1,own,little,little,12,car,bad,3000,131.84,1000,CRM Data
66,female,1,own,quite rich,moderate,9,radio/TV,good,24000,24000,0,CRM Data
21,female,2,rent,little,NA,27,car,bad,10000,411.35,1000,CRM Data
41,female,1,own,rich,NA,6,car,good,10000,10000,0,CRM Data
47,male,1,own,quite rich,NA,15,radio/TV,good,26375,26375,0,CRM Data
25,female,2,rent,little,little,18,radio/TV,bad,6000,416.04,997.6,CRM Data
59,female,2,rent,little,moderate,48,business,bad,6000,425.5,989.82,CRM Data
36,male,2,own,rich,rich,24,business,good,16000,16000,0,CRM Data
33,male,2,own,little,moderate,24,radio/TV,good,4000,4000,0,CRM Data
21,male,1,rent,little,little,24,radio/TV,bad,5000,447.92,971.58,CRM Data
44,female,1,own,little,moderate,8,radio/TV,good,18000,18000,0,CRM Data
28,female,2,rent,rich,NA,24,car,good,5000,5000,0,CRM Data
37,female,2,own,little,NA,4,car,good,15500,15500,0,CRM Data
29,female,0,own,NA,moderate,36,domestic appliances,good,5050,5050,0,CRM Data
23,female,3,rent,little,moderate,24,car,bad,5500,367.15,926.85,CRM Data
35,male,1,own,moderate,little,18,car,good,5000,5000,0,CRM Data
45,male,3,own,little,NA,6,car,good,25000,25000,0,CRM Data
26,female,1,rent,moderate,moderate,30,business,bad,5000,0,892.48,CRM Data
32,male,2,own,moderate,little,24,car,good,5500,5500,0,CRM Data
23,male,1,own,little,moderate,10,radio/TV,good,4200,4200,0,CRM Data
