LandLordID,YearFounded,PreferredIndustry,LandlordOriginCity,LandlordOriginCountry,ActiveCompanies,TotalPopulationAround,Area,AllCompanyID,LastUpdated
120083-14,2012,Software,Zurich,Switzerland,2,906715.7752,47,"['128472-13', '221447-26']",02/22/2021
120088-09,2015,Commercial Services,New York,United States,2,284887.1927,47,"['439448-59', '96644-53']",02/22/2021
120128-68,2014,Healthcare Services,Stockholm,Sweden,8,474463.069,71,"['10139-41', '11157-76', '11216-98', '155247-58', '166765-24', '267105-88', '431300-62', '54588-07']",02/15/2021
120130-57,2014,Media,San Francisco,United States,5,46782.33843,76,"['111098-62', '222856-30', '266115-61', '50933-44', '52116-04']",02/08/2021
120149-11,2013,Commercial Services,New York,United States,2,650509.9205,65,"['454368-16', '96767-11']",02/02/2021
120154-96,2015,Healthcare Services,San Francisco,United States,23,118681.8829,46,"['111633-49', '11174-86', '11228-50', '11323-45', '114018-76', '125702-02', '149517-28', '151996-06', '151996-24', '160650-28', '166856-32', '233689-60', '279390-43', '399600-91', '40420-36', '40668-76', '41895-55', '438461-02', '460044-37', '50980-60', '54930-25', '60082-66', '95875-03']",02/22/2021
120177-91,2010,Software,Paris,France,9,409543.3178,69,"['107659-45', '11106-37', '11108-17', '11268-55', '120641-50', '161552-17', '51586-39', '52196-50', '63603-28']",02/02/2021
120193-57,2015,Services (Non-Financial),San Francisco,United States,15,561572.154,34,"['114164-20', '125524-18', '183174-31', '185886-37', '277654-96', '51006-88', '51322-24', '52211-35', '53005-78', '53906-41', '54252-01', '54812-17', '58852-72', '60886-72', '62577-19']",02/22/2021
120194-29,2016,Software,Hanover,United States,16,446008.1372,58,"['11135-71', '11241-91', '126034-03', '126374-59', '163224-82', '170957-26', '171049-51', '232200-10', '234464-41', '340798-24', '53497-81', '54789-49', '55767-43', '56302-03', '89324-83', '98240-14']",02/15/2021
120195-73,2015,Commercial Services,New York,United States,16,743928.7419,64,"['105851-80', '105903-55', '11191-87', '11768-77', '120421-72', '222271-21', '234037-63', '50980-69', '51126-40', '51755-14', '53571-07', '57571-21', '60270-40', '82616-05', '86883-40', '99192-52']",02/02/2021
120197-80,2013,Software,Tullahoma,United States,8,797441.7226,33,"['118652-41', '161198-47', '314687-08', '436779-19', '436779-28', '436779-73', '436780-63', '54482-95']",02/22/2021
120204-73,2015,Media,Austin,United States,9,241719.9408,76,"['10228-78', '10439-56', '11179-18', '231797-35', '233693-56', '42728-77', '51048-28', '51281-56', '54701-56']",02/22/2021
120206-26,2014,Software,Tel Aviv-Yafo,Israel,31,6293.316205,52,"['106014-52', '106035-13', '11146-33', '11188-63', '11328-67', '11435-05', '114573-97', '11513-26', '122939-38', '132215-05', '163857-07', '170380-45', '172574-29', '178294-15', '183216-25', '222614-29', '228285-01', '231985-63', '234385-66', '234557-47', '300224-44', '439893-10', '452764-54', '54898-93', '55879-21', '56166-22', '56512-27', '57670-21', '59940-37', '62204-68', '66331-45']",02/15/2021
120215-71,2014,Software,Redwood City,United States,9,192003.0933,35,"['11191-96', '11220-13', '166690-90', '435803-95', '452764-54', '51734-08', '52348-33', '57405-97', '58281-49']",02/22/2021
120219-22,2011,Software,Tokyo,Japan,2,11018.32679,45,"['11247-67', '60195-52']",02/02/2021
120224-89,2015,Healthcare Technology Systems,San Francisco,United States,15,6579.886659,7,"['105833-35', '109795-69', '109844-83', '110172-25', '133172-56', '160041-88', '169834-78', '265269-88', '51254-02', '53527-24', '54172-81', '54314-29', '54360-28', '54886-96', '97079-95']",02/22/2021
120245-41,2009,Software,Waltham,United States,7,507192.0101,45,"['11191-87', '120649-24', '125278-21', '159295-33', '178361-20', '52653-16', '60311-80']",02/09/2021
120246-58,2013,Software,Burbank,United States,3,939451.0597,58,"['161936-65', '41210-74', '56795-14']",02/22/2021
120251-35,2013,Software,Oakland,United States,5,938537.2967,39,"['11251-81', '120913-21', '169641-82', '42240-79', '61671-79']",02/22/2021
120258-64,2009,Commercial Products,Stamford,United States,8,83370.60455,73,"['10060-57', '160281-10', '160281-19', '160281-37', '160281-91', '313845-40', '458063-29', '51499-09']",02/22/2021
120271-87,2014,Software,Cambridge,United Kingdom,11,406579.9367,46,"['10364-77', '112111-21', '123443-29', '181058-95', '234461-17', '235149-40', '435140-29', '454955-05', '54354-97', '57938-77', '90547-48']",02/22/2021
120275-56,2015,Software,Cincinnati,United States,33,789881.7776,28,"['10046-80', '101274-94', '103356-19', '107510-32', '108135-73', '110765-62', '11184-49', '11326-33', '125375-95', '149352-13', '150627-52', '150628-24', '150629-68', '150630-67', '157450-24', '157450-51', '157450-78', '157451-23', '157451-95', '166402-45', '166521-79', '180215-56', '435529-36', '51006-88', '51263-47', '52929-82', '53687-62', '54172-81', '54243-91', '54704-62', '54840-88', '55735-39', '58384-81']",02/22/2021
120284-56,2013,Media,Bangkok,Thailand,3,405451.2864,63,"['431641-45', '52639-57', '54375-85']",02/22/2021
120293-47,2016,Software,Manchester,United Kingdom,3,896552.8069,72,"['173403-73', '179585-38', '460165-42']",02/22/2021
120294-19,2009,Apparel and Accessories,Munich,Germany,2,6732.927882,35,"['125324-47', '60229-72']",02/22/2021
120299-41,2014,Software,London,United Kingdom,10,285342.3686,7,"['11211-13', '11247-94', '11265-22', '162382-87', '179376-22', '227341-18', '453497-32', '53443-09', '53992-27', '92703-61']",02/22/2021
120304-81,2015,Software,Salinas,United States,5,440120.0979,46,"['112017-79', '182675-98', '50933-44', '51006-88', '56089-63']",02/02/2021
120307-51,2013,Media,Los Altos,United States,20,554784.6924,58,"['10273-69', '106116-94', '11104-03', '112534-21', '119801-98', '122517-37', '169958-89', '223364-26', '267058-45', '436310-65', '454798-00', '459909-10', '459909-91', '459910-72', '459911-17', '51038-20', '54252-01', '55334-17', '62513-74', '97664-68']",02/22/2021
12031-66,2005,Software,Austin,United States,10,399875.6187,12,"['10022-14', '10121-86', '10463-23', '11128-06', '11217-34', '11220-04', '11264-32', '43125-22', '43126-03', '53324-20']",02/22/2021
120318-13,,Software,San Francisco,United States,3,206732.0718,44,"['11118-97', '11166-76', '11290-51']",02/09/2021
120320-11,2010,Software,The Hague,Netherlands,1,37001.65484,66,['222322-33'],02/22/2021
120351-97,2010,Software,San Diego,United States,4,87123.38775,51,"['181681-39', '181681-48', '182137-69', '223413-49']",02/22/2021
120354-40,2014,Software,Berlin,Germany,12,855733.9372,3,"['105893-11', '106497-73', '111093-94', '153311-59', '184211-02', '45704-44', '51022-00', '54212-05', '55123-03', '56355-94', '56387-35', '60321-61']",02/22/2021
120358-45,2014,Software,Torrance,United States,9,764271.5158,8,"['10474-48', '153974-53', '166956-49', '42212-08', '51730-21', '52827-67', '57585-88', '58384-81', '60082-66']",02/22/2021
120366-01,2014,Software,Campbell,United States,20,105677.1121,67,"['114757-48', '121755-43', '123943-42', '123943-51', '123943-60', '123943-78', '123943-87', '129196-27', '135901-18', '152529-40', '164197-72', '25313-86', '267823-54', '267823-81', '50933-44', '51006-88', '52588-54', '54172-81', '57524-23', '60727-96']",02/15/2021
120369-79,2013,Services (Non-Financial),Santa Monica,United States,28,404970.8345,52,"['10297-90', '105939-37', '106038-10', '106040-71', '106114-06', '106135-03', '106261-93', '106414-21', '106581-88', '11315-62', '121176-73', '14140-09', '149517-28', '149788-90', '163509-13', '170092-27', '178878-16', '178878-61', '178878-70', '178879-15', '178882-75', '225318-25', '228047-50', '229879-81', '233868-79', '41232-16', '61986-61', '62513-92']",02/02/2021
120374-29,2015,Commercial Services,El Segundo,United States,11,215123.3296,68,"['100370-80', '104840-56', '11255-50', '11295-73', '222950-35', '228079-99', '42787-27', '437054-23', '52126-48', '54305-83', '55132-03']",02/22/2021
120374-92,2014,Software,Stockholm,Sweden,23,874787.2648,55,"['128123-38', '128123-65', '149992-21', '155787-13', '160136-29', '165885-76', '165885-94', '165886-03', '165886-93', '165887-65', '165888-01', '169591-69', '179900-65', '180335-98', '182468-08', '183867-58', '229513-24', '229513-33', '233075-08', '266489-92', '268588-72', '40840-84', '61077-25']",02/15/2021
120432-52,2014,Pharmaceuticals and Biotechnology,Buffalo,United States,6,544843.1293,52,"['100731-07', '103264-57', '104086-99', '268028-83', '54735-76', '96288-40']",02/22/2021
120444-40,2014,Media,East Moseley,United Kingdom,1,640633.194,51,['63798-85'],02/02/2021
120513-25,2012,Commercial Services,Seoul,South Korea,4,623206.9848,4,"['42371-11', '42371-47', '52346-80', '93309-49']",02/02/2021
120521-26,2012,Software,New York,United States,12,23623.04197,42,"['10024-93', '10037-35', '10038-79', '10045-81', '10228-78', '10231-12', '110129-68', '11032-84', '122432-95', '42290-02', '56877-76', '96039-19']",02/22/2021
120522-43,2013,Computer Hardware,Zurich,Switzerland,11,874460.6502,12,"['10411-93', '11279-08', '120641-50', '161815-06', '166064-50', '179431-12', '179527-51', '434598-13', '54862-57', '61493-32', '85016-62']",02/02/2021
120577-42,2013,Software,Berlin,Germany,19,556528.5707,57,"['106040-17', '10648-27', '11191-96', '11258-56', '112940-11', '11580-22', '181740-61', '182080-00', '223015-15', '224332-66', '224392-60', '278284-51', '279395-29', '279396-10', '435666-16', '461818-72', '51033-07', '53301-16', '97661-89']",02/22/2021
120581-74,2015,Pharmaceuticals and Biotechnology,San Francisco,United States,25,569525.5855,77,"['102425-68', '105927-94', '106041-70', '110172-25', '114700-69', '122140-99', '155859-76', '156736-99', '162957-25', '164230-03', '181048-87', '182527-66', '221490-28', '267929-02', '40420-36', '41643-82', '442509-49', '50986-90', '51249-34', '52370-29', '53946-64', '54207-19', '55466-02', '56010-97', '95533-93']",02/22/2021
120582-73,2012,Software,Glendale,United States,4,882886.7161,34,"['40420-36', '42988-78', '54886-96', '61745-95']",02/02/2021
120586-78,2015,"Restaurants, Hotels and Leisure",Boston,United States,18,649488.1041,47,"['10238-95', '106813-09', '112340-35', '114253-93', '123987-79', '150239-53', '150732-01', '156257-02', '167131-36', '170245-90', '170245-99', '438251-86', '56252-44', '60082-66', '61986-70', '64007-56', '84837-16', '98811-91']",02/15/2021
120620-26,2009,Commercial Services,Indianapolis,United States,7,137961.4977,74,"['109380-52', '11217-34', '117632-98', '168227-20', '54220-69', '54383-77', '55296-28']",02/02/2021
120637-09,2014,Software,Toronto,Canada,2,545303.738,20,"['155892-70', '54704-62']",02/22/2021
120645-91,2013,Software,New York,United States,17,144026.3554,66,"['108075-25', '111388-78', '111404-26', '119053-09', '161619-94', '163438-39', '163438-75', '163439-02', '163439-11', '163439-20', '163439-38', '163439-56', '50933-44', '54006-49', '55261-00', '60903-91', '99508-96']",02/22/2021
120649-60,2014,Consumer Durables,Edinburgh,United Kingdom,4,767602.6248,45,"['120658-96', '42944-05', '57015-10', '57632-59']",02/22/2021
120675-25,1989,Computer Hardware,Walnut,United States,,886133.4933,74,['110097-55'],02/22/2021
120688-84,2015,Software,San Francisco,United States,17,616930.8804,13,"['106169-14', '106174-00', '106339-42', '112919-95', '112961-80', '114495-22', '118594-36', '151472-53', '152468-56', '154312-30', '154312-66', '154313-20', '154313-38', '154314-46', '221780-53', '53452-18', '54812-17']",02/15/2021
120747-34,2014,Media,Navi Mumbai,India,17,741183.5042,48,"['106129-27', '109570-69', '119149-30', '119158-48', '120846-61', '126849-07', '126849-16', '148714-75', '161800-93', '223001-83', '223537-87', '231946-57', '458650-63', '458650-81', '51002-92', '51401-80', '58222-18']",02/02/2021
120762-37,2015,Semiconductors,Branford,United States,11,764994.4307,66,"['103429-54', '11174-14', '158137-48', '179069-86', '185184-19', '41290-30', '42256-27', '54510-31', '55778-14', '64600-12', '91284-49']",02/22/2021
120763-72,2002,Commercial Products,Naruto,Japan,6,303627.66,41,"['11435-05', '115199-83', '51216-31', '54083-62', '58802-41', '61048-18']",02/22/2021
120771-91,2016,Software,Mumbai,India,3,133874.9239,30,"['128444-50', '14530-87', '42454-90']",02/02/2021
120782-26,2015,Software,Hampshire,United Kingdom,4,790272.4608,37,"['10416-88', '11308-06', '42834-43', '55161-46']",02/22/2021
120784-33,2015,Commercial Services,Bengaluru,India,22,950452.5802,33,"['106068-52', '106114-60', '106368-49', '106738-30', '109835-65', '111367-81', '123037-12', '124582-33', '150437-35', '150438-79', '150439-15', '153309-25', '161740-99', '163902-88', '41141-71', '42873-94', '54197-38', '54998-83', '57670-21', '60806-08', '61690-24', '84621-07']",02/02/2021
120784-51,2015,Software,Morges,Switzerland,13,668252.4539,52,"['106291-72', '120788-29', '120788-65', '120788-74', '154635-13', '159963-49', '268159-06', '51037-12', '51945-67', '52153-84', '54360-28', '61443-91', '64839-97']",02/02/2021
120786-76,2011,Software,Bellevue,United States,12,872905.5567,1,"['106530-76', '106960-69', '107034-04', '11320-39', '121844-89', '121845-25', '121845-43', '149968-72', '43003-54', '50933-44', '55261-00', '55271-44']",02/02/2021
120787-21,2001,Commercial Services,New York,United States,9,652465.9036,34,"['10056-25', '10744-03', '11252-89', '120079-18', '14194-63', '150732-01', '222641-02', '55624-96', '61940-35']",02/22/2021
120787-39,2015,Software,Seattle,United States,13,606989.1416,37,"['10231-12', '11229-85', '11331-10', '162609-40', '167607-10', '40420-36', '432704-26', '50933-44', '50987-80', '55261-00', '56343-79', '57775-51', '97631-29']",02/22/2021
120793-42,2013,Services (Non-Financial),Berlin,Germany,7,76612.80273,28,"['111563-74', '11183-95', '120796-21', '154595-80', '226712-44', '434640-16', '53284-51']",02/22/2021
120805-75,2015,Healthcare Technology Systems,Saint Louis,United States,21,706822.315,40,"['107510-32', '108118-27', '109844-83', '110115-19', '11125-99', '123036-85', '126012-70', '129023-29', '129196-27', '160041-88', '222123-25', '268046-92', '51127-93', '51181-12', '51738-58', '52116-04', '53896-15', '54360-28', '54603-91', '55017-46', '88958-80']",02/22/2021
120856-87,2014,Consumer Durables,Palo Alto,United States,15,215433.0224,10,"['104613-22', '108743-59', '172972-72', '225535-06', '264415-42', '266936-77', '339801-49', '339880-78', '42369-85', '51322-24', '51501-97', '56624-05', '65805-76', '99241-03', '99948-43']",02/22/2021
120861-64,2012,Computer Hardware,Toronto,Canada,3,578399.3983,10,"['222768-46', '58391-02', '62668-36']",02/02/2021
120907-36,2013,Healthcare Technology Systems,Madison,United States,10,935626.7296,14,"['10489-78', '109844-83', '150042-52', '185522-68', '42202-18', '52116-04', '52972-39', '54215-92', '54603-91', '62006-32']",02/02/2021
120926-26,2015,Software,San Francisco,United States,21,649131.0145,62,"['10271-98', '10461-25', '105953-14', '107333-92', '109232-56', '11122-39', '11147-95', '11174-86', '11258-83', '114110-65', '118979-29', '126591-22', '222645-70', '24981-04', '399517-84', '432781-93', '49063-60', '55334-17', '55436-86', '60139-90', '83988-37']",02/22/2021
120927-25,2015,Commercial Services,San Francisco,United States,25,944163.076,14,"['105885-46', '106054-30', '106063-39', '106261-93', '106288-75', '110281-78', '110937-70', '11201-77', '11318-77', '121834-09', '124485-76', '149517-28', '149606-38', '225674-83', '234961-84', '40420-36', '433201-69', '48176-38', '50980-60', '52370-29', '52815-70', '54207-19', '54886-96', '57781-45', '60139-90']",02/15/2021
120934-00,2010,Semiconductors,London,United Kingdom,13,659508.7246,73,"['101619-01', '10375-84', '120641-50', '125524-18', '158844-61', '183407-86', '222006-88', '222518-62', '233739-55', '267316-30', '458017-75', '56755-45', '61515-10']",02/02/2021
120964-60,2015,Insurance,Menlo Park,United States,12,309176.5992,48,"['11135-71', '11290-51', '11333-26', '149720-23', '182564-38', '222304-15', '231797-35', '340810-93', '40995-55', '54172-81', '61956-64', '62138-71']",02/02/2021
120977-74,2014,Software,San Francisco,United States,23,316735.1947,75,"['10139-41', '110937-70', '11171-44', '11191-96', '11229-04', '11295-73', '115026-85', '117491-05', '126160-84', '160744-06', '181926-82', '185184-46', '265238-92', '375602-95', '40420-36', '434523-25', '50980-60', '50986-90', '51006-88', '52296-76', '53858-62', '54892-09', '55869-04']",02/22/2021
120979-45,2013,Commercial Products,Irvine,United States,6,624802.1493,4,"['10043-83', '157760-38', '167046-49', '231836-77', '60451-03', '86870-53']",02/02/2021
120982-15,2015,Transportation,Budapest,Hungary,13,632675.3504,10,"['11211-76', '11276-38', '155248-48', '168193-00', '225893-44', '232643-08', '51029-20', '51206-95', '56010-97', '58540-33', '59168-98', '60960-88', '65064-07']",02/22/2021
120986-65,2014,Retail,Dallas,United States,7,229230.6326,17,"['106540-30', '121005-64', '224309-26', '438315-22', '53399-98', '56016-46', '63781-30']",02/15/2021
121005-73,2015,Commercial Services,New York,United States,1,649200.443,69,['10052-20'],02/02/2021
121017-79,2005,Software,Seattle,United States,2,36998.57785,64,"['163157-50', '60374-26']",02/22/2021
121021-48,2014,Software,Washington,United States,8,589113.6864,8,"['10297-90', '121024-18', '225318-25', '437271-49', '50980-24', '51006-88', '54172-81', '99192-52']",02/02/2021
121026-43,2013,Consumer Durables,Vancouver,United States,4,623083.9582,45,"['225521-02', '268211-26', '459368-92', '51143-68']",02/15/2021
121028-14,2013,Software,New York,United States,25,540940.359,48,"['10052-20', '10134-73', '106540-30', '11270-53', '11307-97', '11749-87', '12421-90', '124929-82', '170957-26', '181058-86', '221796-19', '265238-92', '42715-00', '42873-94', '435931-48', '50980-60', '51097-60', '54006-49', '54207-19', '55271-44', '55436-86', '55767-07', '56348-20', '56355-94', '56833-03']",02/15/2021
121054-42,2001,Semiconductors,Santa Clara,United States,4,78883.74084,60,"['111576-97', '11159-29', '11201-23', '120649-24']",02/02/2021
121076-38,2011,Consumer Durables,San Francisco,United States,3,395313.6355,13,"['11296-18', '129200-41', '43140-61']",02/22/2021
121085-11,2015,Transportation,Bangalore,India,30,940142.6711,39,"['105885-46', '106054-30', '106199-65', '106574-05', '109840-78', '110308-51', '110308-78', '121298-41', '121298-77', '121299-49', '121300-21', '121300-66', '125469-46', '125524-18', '126948-70', '161708-86', '167986-81', '167988-16', '185025-52', '185079-52', '40420-36', '435529-36', '51022-00', '52917-22', '60139-90', '60565-51', '60587-20', '61657-57', '61745-95', '93316-78']",02/22/2021
121086-10,2015,Consumer Non-Durables,Napa,United States,11,378919.428,45,"['106009-48', '108358-57', '11191-87', '11209-51', '115592-86', '11877-94', '124585-03', '223015-96', '63597-16', '65419-66', '96577-48']",02/15/2021
121087-72,2014,Software,Cambridge,United States,19,320075.1747,5,"['11154-70', '11219-50', '11253-52', '12478-60', '158137-48', '166064-50', '166654-00', '169834-78', '188020-18', '235077-13', '25163-02', '25332-67', '342995-41', '50980-33', '51427-00', '54172-81', '60082-66', '99402-40', '99888-85']",02/22/2021
121109-59,2014,Software,Toronto,Canada,3,406044.1154,62,"['11590-93', '436895-56', '60493-42']",02/22/2021
121115-17,2014,Software,Santa Monica,United States,19,372105.9561,12,"['106048-00', '107883-55', '11215-36', '11262-16', '126970-03', '149224-96', '155832-76', '179085-25', '221492-35', '228400-30', '342012-25', '43053-58', '52695-10', '53324-02', '55698-04', '56259-28', '58463-56', '63908-56', '65419-66']",02/02/2021
121115-53,2009,Energy Services,Durham,United States,4,804355.6419,9,"['11110-87', '121115-62', '183293-02', '56237-68']",02/09/2021
121119-94,2014,Healthcare Services,Port Saint Lucie,United States,2,922952.6775,64,"['454476-07', '66005-74']",02/02/2021
121182-22,2015,Software,Burlingame,United States,20,21450.97655,42,"['11207-44', '11338-39', '12478-60', '155859-76', '162619-12', '167035-87', '178294-15', '267948-73', '327461-32', '40747-15', '40773-97', '436807-00', '53944-48', '58417-48', '60374-26', '62543-62', '62716-78', '63176-32', '65426-59', '98411-32']",02/22/2021
121263-67,1998,Agriculture,Hermiston,United States,1,213596.3129,49,['10242-91'],02/22/2021
121270-24,2014,Commercial Services,Sunnyvale,United States,12,805118.193,25,"['11188-63', '161639-74', '163857-07', '164134-54', '168856-21', '230491-00', '279640-90', '328280-05', '42724-45', '51435-19', '54172-81', '55818-19']",02/22/2021
121288-24,2013,Healthcare Technology Systems,Palo Alto,United States,13,349549.2602,12,"['101389-42', '10780-93', '11260-45', '112600-18', '113024-17', '121026-61', '179646-22', '267420-25', '51480-28', '54252-01', '55468-99', '60449-41', '82013-05']",02/15/2021
121294-99,2011,Consumer Non-Durables,Los Angeles,United States,9,606148.6344,48,"['110765-62', '124472-26', '438712-21', '438712-57', '458556-94', '458557-12', '458557-21', '458557-48', '54179-56', '58087-99']",02/08/2021
121295-62,2011,Software,Boston,United States,21,85622.84275,51,"['10051-21', '10072-54', '10134-73', '10271-98', '106208-11', '114018-76', '13471-21', '149361-04', '179665-03', '180417-61', '183360-34', '342094-33', '343028-80', '42873-94', '435213-64', '49063-60', '53737-66', '54855-55', '57998-80', '64452-61', '86568-04']",02/22/2021
121341-70,2014,Services (Non-Financial),Cambridge,United States,7,590853.9973,70,"['108229-78', '154279-90', '158752-72', '169389-01', '222564-43', '222604-75', '54360-28']",02/02/2021
121351-06,2014,Software,San Francisco,United States,28,636804.5213,52,"['105826-96', '106158-97', '106261-93', '106610-05', '121065-04', '122133-25', '124844-50', '128373-22', '13169-17', '149517-28', '152789-86', '158063-05', '162639-28', '162721-54', '162721-63', '162721-72', '164194-75', '168237-91', '170036-29', '227646-73', '231541-39', '432889-12', '432889-21', '432889-48', '49922-20', '49922-29', '56084-50', '97812-01']",02/22/2021
121369-15,2014,Software,Berlin,Germany,7,843472.2998,47,"['106494-13', '42290-02', '455195-35', '53967-52', '56135-26', '56260-72', '62302-60']",02/22/2021
121369-42,2013,Software,San Mateo,United States,19,209530.3393,21,"['105885-46', '106372-18', '106569-73', '11132-38', '11240-47', '112719-70', '11296-45', '121996-27', '223424-02', '234123-85', '40420-36', '42873-94', '42886-72', '50933-44', '54546-58', '54886-96', '55970-02', '61745-95', '83602-63']",02/02/2021
121394-17,2009,Software,Singapore,Singapore,11,757722.2932,0,"['10051-21', '14187-70', '264863-44', '266972-23', '268803-37', '437028-31', '51469-48', '51741-19', '54497-26', '62284-24', '97152-04']",02/22/2021
121408-30,2015,Software,Berlin,Germany,12,218781.5561,39,"['100678-42', '10163-71', '11146-33', '11333-26', '149326-93', '164228-14', '170082-82', '181043-74', '232992-10', '52874-92', '56745-10', '61106-05']",02/02/2021
121408-75,2016,Retail,New York,United States,12,438397.5788,51,"['127646-20', '168192-28', '174891-52', '181525-78', '187787-71', '227132-83', '227686-60', '235088-29', '57677-23', '58428-46', '60082-66', '63638-83']",02/22/2021
121411-45,2015,Commercial Products,El Segundo,United States,10,233577.8969,72,"['103048-03', '10444-60', '11107-72', '11614-24', '156123-46', '169642-00', '169928-65', '232199-83', '53228-80', '60082-66']",02/22/2021
121415-77,2014,Software,London,United Kingdom,4,152521.2658,25,"['133086-88', '50943-70', '57998-80', '60882-22']",02/15/2021
121416-76,2013,Healthcare Services,Barcelona,Spain,7,472238.3415,72,"['112136-68', '153419-14', '180286-12', '229143-70', '53451-10', '54589-15', '56349-10']",02/09/2021
121426-48,2015,Commercial Services,Bangkok,Thailand,7,871143.6992,45,"['11202-04', '158901-94', '187929-91', '51755-50', '57270-34', '58723-39', '85678-03']",02/15/2021
121437-64,2014,Software,London,United Kingdom,5,327218.7903,63,"['108166-06', '227341-18', '458295-40', '458295-85', '51006-88']",02/15/2021
121450-33,2010,Commercial Services,Eindhoven,Netherlands,11,165747.5524,65,"['100470-79', '11145-52', '11463-67', '124241-50', '158121-55', '183356-92', '232105-69', '53765-65', '58591-90', '58606-66', '99197-47']",02/15/2021
121462-93,2015,Software,Chicago,United States,5,298766.9356,13,"['119389-87', '12505-33', '162341-83', '51006-88', '51487-66']",02/22/2021
121470-04,2013,Software,Ramat Gan,Israel,7,786394.9087,34,"['11171-08', '50969-80', '53424-46', '56144-62', '59940-37', '60086-44', '61024-87']",02/15/2021
121508-02,2011,Commercial Services,San Francisco,United States,8,301088.5636,74,"['11335-42', '150512-86', '188065-18', '279729-73', '51552-19', '51755-14', '55334-17', '57697-12']",02/22/2021
121511-17,2015,Commercial Services,Chicago,United States,7,155593.5591,74,"['11401-48', '226034-47', '231597-19', '43058-08', '435458-35', '51057-82', '56105-92']",02/22/2021
121516-93,2015,Transportation,Bengaluru,India,5,993969.293,25,"['119149-30', '325281-52', '375233-50', '55873-36', '86418-91']",02/22/2021
121552-75,2012,Software,Tokyo,Japan,4,433456.134,69,"['42871-51', '53333-02', '61956-64', '82045-72']",02/22/2021
121564-36,2014,Transportation,Amsterdam,Netherlands,7,414633.835,31,"['104667-94', '157761-46', '161368-84', '225784-72', '225785-08', '234827-47', '83255-32']",02/02/2021
121564-63,2015,Retail,Rosario,Argentina,11,669109.2928,17,"['105616-00', '123718-06', '162077-50', '185886-37', '229610-98', '43040-35', '53944-48', '54210-70', '55609-75', '56617-84', '61564-69']",02/15/2021
121573-90,2015,Apparel and Accessories,Bratislava,Slovakia,5,937015.0187,19,"['11103-94', '431344-00', '434567-71', '61122-34', '65408-77']",02/15/2021
121574-26,2015,Software,San Francisco,United States,8,538444.5201,54,"['106055-38', '11261-89', '125375-77', '232280-20', '265118-50', '325841-05', '55523-80', '59264-65']",02/22/2021
121587-22,2015,Consumer Durables,New York,United States,10,639111.9311,35,"['106128-19', '154449-46', '155859-76', '169687-81', '231783-49', '399251-17', '416639-71', '51097-60', '56833-03', '97704-82']",02/22/2021
121591-72,2014,Healthcare Services,Mumbai,India,4,889724.2154,32,"['232377-94', '232378-57', '232378-66', '25168-96']",02/08/2021
121608-73,2013,Healthcare Services,Manchester,United Kingdom,8,960816.9061,9,"['11265-22', '11268-55', '11275-75', '11303-11', '168793-30', '265033-09', '60489-19', '61136-11']",02/02/2021
121609-18,2014,Insurance,London,United Kingdom,12,571332.0737,18,"['148770-82', '153995-86', '155847-34', '231828-67', '234015-40', '343389-88', '343390-24', '50933-44', '51064-84', '52304-50', '53398-54', '62981-92']",02/02/2021
121631-95,2012,Software,Palo Alto,United States,7,282194.8779,72,"['106057-45', '123030-10', '157663-45', '168856-21', '233424-82', '57826-36', '63242-83']",02/02/2021
121642-21,2013,Software,Zug,Switzerland,4,206756.8993,7,"['10602-82', '128472-13', '160895-26', '160895-62']",02/02/2021
121654-63,2013,Commercial Services,Balmain,Australia,5,81712.75143,61,"['11220-76', '147830-32', '183059-29', '277638-76', '436036-06']",02/02/2021
121661-83,2015,Commercial Services,West Hollywood,United States,23,216447.7903,22,"['105918-94', '106133-50', '124142-32', '124306-75', '159310-00', '167221-81', '181686-52', '182605-06', '184752-46', '223408-72', '226815-13', '234425-35', '338669-29', '42015-61', '52969-60', '54172-81', '54220-06', '54785-71', '58776-76', '60339-07', '65004-67', '86870-53', '88376-41']",02/22/2021
121683-34,2012,Transportation,Berlin,Germany,21,985091.7543,61,"['100624-51', '10234-81', '111093-58', '111093-94', '11165-23', '124663-69', '168935-50', '182433-16', '222269-59', '231533-38', '343487-08', '40773-97', '42265-54', '458538-31', '51048-46', '53737-66', '54195-40', '54556-57', '58068-64', '58740-40', '63950-95']",02/15/2021
121690-99,2014,Transportation,Los Angeles,United States,8,946082.8226,13,"['12414-88', '155717-65', '165773-26', '231268-33', '231268-60', '25915-87', '41741-29', '99538-03']",02/22/2021
121691-08,2015,Healthcare Technology Systems,Baltimore,United States,24,901204.4304,21,"['107332-30', '109795-69', '115528-78', '120873-97', '124048-27', '124056-28', '148683-07', '148683-16', '167357-98', '167627-26', '222856-30', '268046-92', '40380-31', '431212-51', '459874-90', '459875-08', '51048-46', '54172-81', '54611-47', '55017-46', '62056-81', '65072-62', '97152-04', '98634-70']",02/08/2021
121699-99,2015,Software,Boston,United States,28,130635.195,8,"['10139-41', '105849-28', '106625-17', '107882-74', '110494-81', '110747-17', '11135-71', '11159-74', '11307-97', '115524-28', '121759-03', '169856-11', '170280-37', '171105-22', '171105-40', '178361-20', '222078-97', '222092-29', '230414-95', '327363-13', '42873-94', '452764-54', '458735-95', '49063-60', '53788-78', '56091-70', '56272-06', '60765-31']",02/22/2021
